06-14 17:25:54.755	RulesParser.parseGearInfo()
06-14 17:25:54.755	RulesParser.parserModuleInfo() 
06-14 17:25:54.755	RulesParser2.parseDevices()
06-14 17:25:54.755	RulesParser.parseDeviceItem()
06-14 17:25:54.756	RulesParser. parseAdditionalPackages() : 
06-14 17:25:54.756	RulesParser.parseAdditionalPackageItem
06-14 17:25:54.756	tUHM:TWatchManagerApplication.getAppContext()
06-14 17:25:54.756	tUHM:TWatchManagerApplication.mAppContext = com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.757	RulesParser.parseGearInfo() ModuleInfo :com.samsung.android.app.twatchmanager.model.ModuleInfo@57fad55
06-14 17:25:54.757	RulesParser.parserModuleInfo() 
06-14 17:25:54.757	RulesParser2.parseDevices()
06-14 17:25:54.757	RulesParser.parseDeviceItem()
06-14 17:25:54.757	RulesParser.parseDeviceItem()
06-14 17:25:54.758	RulesParser.parseDeviceItem()
06-14 17:25:54.758	RulesParser.parseDeviceItem()
06-14 17:25:54.758	RulesParser. parseAdditionalPackages() : 
06-14 17:25:54.758	tUHM:RegistryDbManagerWithProvider.queryAllDeviceRegistryData:
06-14 17:25:54.758	RulesParser.parseAdditionalPackageItem
06-14 17:25:54.759	tUHM:TWatchManagerApplication.getAppContext()
06-14 17:25:54.759	tUHM:TWatchManagerApplication.mAppContext = com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.759	RulesParser.parseGearInfo() ModuleInfo :com.samsung.android.app.twatchmanager.model.ModuleInfo@c3afb1a
06-14 17:25:54.759	RulesParser.parserModuleInfo() 
06-14 17:25:54.759	RulesParser2.parseDevices()
06-14 17:25:54.760	RulesParser.parseDeviceItem()
06-14 17:25:54.760	RulesParser.parseGearInfo() ModuleInfo :com.samsung.android.app.twatchmanager.model.ModuleInfo@dbb064b
06-14 17:25:54.760	RulesParser.parserModuleInfo() 
06-14 17:25:54.760	RulesParser2.parseDevices()
06-14 17:25:54.760	RulesParser.parseDeviceItem()
06-14 17:25:54.761	RulesParser.parseDeviceItem()
06-14 17:25:54.761	RulesParser.parseDeviceItem()
06-14 17:25:54.761	RulesParser.parseDeviceItem()
06-14 17:25:54.761	RulesParser.parseDeviceItem()
06-14 17:25:54.762	RulesParser.parseDeviceItem()
06-14 17:25:54.762	RulesParser.parseDeviceItem()
06-14 17:25:54.762	RulesParser. parseAdditionalPackages() : 
06-14 17:25:54.762	RulesParser.parseAdditionalPackageItem
06-14 17:25:54.762	tUHM:TWatchManagerApplication.getAppContext()
06-14 17:25:54.763	tUHM:TWatchManagerApplication.mAppContext = com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.763	RulesParser.parseGearInfo() ModuleInfo :com.samsung.android.app.twatchmanager.model.ModuleInfo@d8eb828
06-14 17:25:54.763	RulesParser.parserModuleInfo() 
06-14 17:25:54.763	tUHM:RegistryDbManagerWithProvider.queryAllDeviceRegistryData, size = 0
06-14 17:25:54.763	RulesParser2.parseDevices()
06-14 17:25:54.764	tUHM:TWatchManagerApplication.getAppContext()
06-14 17:25:54.764	RulesParser.parseDeviceItem()
06-14 17:25:54.764	tUHM:TWatchManagerApplication.mAppContext = com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.764	RulesParser.parseGearInfo() ModuleInfo :com.samsung.android.app.twatchmanager.model.ModuleInfo@8d0c941
06-14 17:25:54.764	RulesParser.parserModuleInfo() 
06-14 17:25:54.764	RulesParser2.parseDevices()
06-14 17:25:54.765	tUHM:InstallationUtils.hasInstallPermission() return:true
06-14 17:25:54.765	RulesParser.parseDeviceItem()
06-14 17:25:54.765	tUHM:HostManagerUtils. isSamsungDevice() MANUFACTURER :samsung return :true
06-14 17:25:54.765	RulesParser.parseDeviceItem()
06-14 17:25:54.765	tUHM:LoadingGearFragment.onViewCreated()
06-14 17:25:54.765	RulesParser. parseAdditionalPackages() : 
06-14 17:25:54.766	RulesParser.parseAdditionalPackageItem
06-14 17:25:54.766	tUHM:TWatchManagerApplication.getAppContext()
